Role in Cosmetics Industry,Cosmetic Brand Used Most Frequently,Years Using Brand,Learned About Brand,Marketing Channels Followed,Personal Use at Home,Most Familiar Product Line,Potential Causes to Stop Using Brand,Issues Encountered,Loyalty,Use Online Store,Average Quarterly Spend
Cosmetology specialist,Brand B,3,Shelf or poster ad at the shop,"Instagram, Visits to a physical store, Email, Phone calls to the sales manager, TikTok, Phone calls to the sales manager, Visiting the website, TikTok, Visits to a physical store",Yes,Product Line 4,Products becoming widely available in shops,2,8,Yes,256
Individual consumer,Brand C,8,Word of mouth,"Visiting the website, TikTok, Phone calls to the sales manager, Visiting the website, Visiting the website, Linkedin, Linkedin, Phone calls to the sales manager",Yes,Product Line 5,"Products becoming widely available in shops, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Brand not recognized or preferred by clients, New product lines lacking a unique sales proposition",2,8,Yes,50
Individual consumer,Brand D,8,Shelf or poster ad at the shop,"Instagram, Visiting the website",Yes,Product Line 1,Absence of new product lines,5,7,Yes,332
Individual consumer,Brand B,10,At your workplace,"Through colleagues/bosses, Email, Instagram, Phone calls to the sales manager, Linkedin, Visits to a physical store, Linkedin, Visiting the website",Yes,Product Line 2,"Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Reduced support from sales manager, Lack of educational seminars supporting new products, Ethical or financial scandals associated with the brand or personnel, New product lines lacking a unique sales proposition, Slow or poor product delivery, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products",4,3,Yes,209
Cosmetics brand owner,Brand D,7,Through an email newsletter,"Email, Phone calls to the sales manager, Email, I do not follow any, Visiting the website, Linkedin",Yes,Product Line 2,"Receiving spoiled or damaged products, Brand not recognized or preferred by clients",2,7,No,298
Individual consumer,Brand B,8,Through an internet search,"Email, Visiting the website, TikTok, Visiting the website, TikTok, Through colleagues/bosses, Visiting the website, Visiting the website, Instagram",Yes,Product Line 4,"New product lines lacking a unique sales proposition, Brand not recognized or preferred by clients, Brand not recognized or preferred by clients",3,6,Yes,622
Individual consumer,Brand A,10,Through an email newsletter,"TikTok, Linkedin, Phone calls to the sales manager",Yes,Product Line 1,"Lack of educational seminars supporting new products, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Reduced support from sales manager, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Reduced support from sales manager, Lack of educational seminars supporting new products",3,1,No,283
Beauty studio manager/administrator,Brand E,5,From clients,Visiting the website,Yes,Product Line 4,Product-based procedures becoming less profitable,3,4,Yes,275
Beauty studio manager/administrator,Brand A,13,Shelf or poster ad at the shop,"Visiting the website, Linkedin",No,Product Line 3,"Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Ethical or financial scandals associated with the brand or personnel, Product-based procedures becoming less profitable, Reduced support from sales manager, Products becoming widely available in shops, Brand not recognized or preferred by clients",2,6,Yes,189
Massage professional,Brand B,4,From a family member,"Visits to a physical store, Email, Email",Yes,Product Line 3,"Slow or poor product delivery, Receiving spoiled or damaged products",3,8,Yes,376
Individual consumer,Brand A,7,School/college,"TikTok, Through colleagues/bosses, Visiting the website, Phone calls to the sales manager, Visiting the website, Linkedin",Yes,Product Line 5,"Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products, Slow or poor product delivery, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Products becoming widely available in shops, Brand not recognized or preferred by clients, Moving to another country where the brand is unknown",2,6,Yes,247
"Other, please specify",Brand A,3,From clients,"Visits to a physical store, Visiting the website, Visiting the website, Visits to a physical store, Visiting the website, Visiting the website, Visits to a physical store, Instagram, Visiting the website",No,Product Line 2,"New product lines lacking a unique sales proposition, Product-based procedures becoming less profitable, Absence of new product lines, New product lines lacking a unique sales proposition, Reduced support from sales manager",1,4,Yes,304
Beauty studio manager/administrator,Brand E,3,From clients,"Visiting the website, TikTok, TikTok, Instagram, I do not follow any",No,Product Line 2,"Lack of educational seminars supporting new products, Absence of new product lines, Ethical or financial scandals associated with the brand or personnel",2,5,Yes,100
Cosmetology specialist,Brand A,4,Via a social media advertisement,"Email, Visiting the website, Visiting the website, Email, Phone calls to the sales manager",No,Product Line 4,"Ethical or financial scandals associated with the brand or personnel, Receiving spoiled or damaged products, Receiving spoiled or damaged products",4,5,Yes,269
Cosmetology specialist,Brand D,5,Via a social media advertisement,"Visiting the website, TikTok, Visiting the website",Yes,Product Line 1,"Receiving spoiled or damaged products, Receiving spoiled or damaged products, Receiving spoiled or damaged products, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Reduced support from sales manager, Receiving spoiled or damaged products, Receiving spoiled or damaged products",3,6,Yes,329
Individual consumer,Brand E,0,Through an internet search,Visiting the website,No,Product Line 1,"Dissatisfaction with products among clients, Slow or poor product delivery, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Products becoming widely available in shops, Lack of educational seminars supporting new products, Reduced support from sales manager, Ethical or financial scandals associated with the brand or personnel, New product lines lacking a unique sales proposition, Product-based procedures becoming less profitable",1,5,No,260
Individual consumer,Brand A,9,Via a social media advertisement,"Instagram, Visiting the website, Phone calls to the sales manager, Phone calls to the sales manager, Instagram, I do not follow any, Linkedin, Visits to a physical store, Visiting the website",No,Product Line 1,"New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Slow or poor product delivery, Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Moving to another country where the brand is unknown, Slow or poor product delivery, Lack of educational seminars supporting new products",2,7,Yes,197
Massage professional,Brand E,0,Shelf or poster ad at the shop,"Visiting the website, Linkedin, Visiting the website",Yes,Product Line 1,"Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Ethical or financial scandals associated with the brand or personnel, Brand not recognized or preferred by clients, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Brand not recognized or preferred by clients, Ethical or financial scandals associated with the brand or personnel",2,9,Yes,290
Cosmetics brand owner,Brand B,1,School/college,"Visiting the website, Visiting the website, Visiting the website, I do not follow any, Email, I do not follow any, Visiting the website, TikTok",Yes,Product Line 4,"Dissatisfaction with products among clients, Lack of educational seminars supporting new products",3,5,Yes,254
Massage professional,Brand C,6,At an exhibition,Visiting the website,Yes,Product Line 2,"Dissatisfaction with products among clients, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products",1,7,Yes,171
"Other, please specify",Brand E,5,Word of mouth,Visits to a physical store,No,Product Line 4,"Dissatisfaction with products among clients, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Absence of new product lines, Slow or poor product delivery, Receiving spoiled or damaged products, Products becoming widely available in shops, Reduced support from sales manager, Absence of new product lines, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Receiving spoiled or damaged products",2,9,No,410
Massage professional,Brand C,4,Via a social media advertisement,"Through colleagues/bosses, Phone calls to the sales manager, Instagram, Visits to a physical store, Through colleagues/bosses, Visiting the website, Phone calls to the sales manager, Linkedin, Visits to a physical store",No,Product Line 1,"Slow or poor product delivery, Slow or poor product delivery, Products becoming widely available in shops, Product-based procedures becoming less profitable, Products becoming widely available in shops, Reduced support from sales manager",4,4,Yes,143
Individual consumer,Brand D,8,Shelf or poster ad at the shop,"Email, Through colleagues/bosses, Visits to a physical store, Visits to a physical store",Yes,Product Line 4,"New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Products becoming widely available in shops, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products",3,4,No,284
Individual consumer,Brand A,6,Through an email newsletter,"Linkedin, Instagram, TikTok",No,Product Line 4,"Receiving spoiled or damaged products, Slow or poor product delivery, Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Product-based procedures becoming less profitable, Ethical or financial scandals associated with the brand or personnel, Products becoming widely available in shops, Lack of educational seminars supporting new products",2,10,Yes,167
Individual consumer,Brand B,0,Via a social media advertisement,"Through colleagues/bosses, TikTok, TikTok, Visiting the website, Through colleagues/bosses, TikTok, Visiting the website, Instagram, Through colleagues/bosses",Yes,Product Line 1,"Reduced support from sales manager, Absence of new product lines, Receiving spoiled or damaged products, Brand not recognized or preferred by clients, Moving to another country where the brand is unknown, Products becoming widely available in shops, Absence of new product lines",2,4,Yes,154
Individual consumer,Brand C,8,Via a social media advertisement,"Visiting the website, Linkedin, Visiting the website, Visiting the website, Linkedin, I do not follow any, Through colleagues/bosses, Through colleagues/bosses, Visiting the website",Yes,Product Line 2,"Lack of educational seminars supporting new products, Slow or poor product delivery, Receiving spoiled or damaged products, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Dissatisfaction with products among clients, Absence of new product lines, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Brand not recognized or preferred by clients, Products becoming widely available in shops",3,8,No,292
Massage professional,Brand A,6,Friends,Phone calls to the sales manager,No,Product Line 3,Products becoming widely available in shops,2,3,Yes,50
Individual consumer,Brand E,5,Via a social media advertisement,"Instagram, Instagram, Visiting the website, TikTok, Through colleagues/bosses, Email, Instagram, Through colleagues/bosses",Yes,Product Line 4,"Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Brand not recognized or preferred by clients, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products",1,8,Yes,293
Massage professional,Brand A,5,Friends,"Instagram, Visiting the website, Instagram, Phone calls to the sales manager, Phone calls to the sales manager, Visiting the website, Visiting the website",Yes,Product Line 1,"Slow or poor product delivery, Dissatisfaction with products among clients, Products becoming widely available in shops, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products",2,10,Yes,316
Individual consumer,Brand B,0,Through an email newsletter,"Visits to a physical store, Through colleagues/bosses, Phone calls to the sales manager",Yes,Product Line 2,"Lack of educational seminars supporting new products, Absence of new product lines, Absence of new product lines",3,6,Yes,360
Cosmetics brand owner,Brand B,8,Through an email newsletter,"I do not follow any, Visiting the website, Visiting the website, Visits to a physical store, Visiting the website, Visiting the website, TikTok, Visiting the website, Visits to a physical store",No,Product Line 4,"Moving to another country where the brand is unknown, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Product-based procedures becoming less profitable, Moving to another country where the brand is unknown, Product-based procedures becoming less profitable, New product lines lacking a unique sales proposition, Dissatisfaction with products among clients, New product lines lacking a unique sales proposition, Ethical or financial scandals associated with the brand or personnel, Absence of new product lines",2,6,No,381
Individual consumer,Brand A,8,School/college,"Through colleagues/bosses, Visiting the website, Through colleagues/bosses, Phone calls to the sales manager, I do not follow any, Linkedin, Visiting the website, Phone calls to the sales manager, Visiting the website",Yes,Product Line 3,"Ethical or financial scandals associated with the brand or personnel, Absence of new product lines, New product lines lacking a unique sales proposition, Ethical or financial scandals associated with the brand or personnel, Lack of educational seminars supporting new products, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Brand not recognized or preferred by clients, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products",2,3,No,335
Cosmetics brand owner,Brand A,0,"Other, please specify","Email, Visiting the website, Through colleagues/bosses",No,Product Line 4,"Reduced support from sales manager, Product-based procedures becoming less profitable, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Slow or poor product delivery, Lack of educational seminars supporting new products",2,8,Yes,307
Individual consumer,Brand A,4,School/college,"Instagram, TikTok, Visits to a physical store, Visiting the website, Visiting the website",No,Product Line 4,"Slow or poor product delivery, Brand not recognized or preferred by clients, Product-based procedures becoming less profitable, Slow or poor product delivery, Lack of educational seminars supporting new products, Dissatisfaction with products among clients, Ethical or financial scandals associated with the brand or personnel",3,2,Yes,475
Cosmetics brand owner,Brand A,5,Via a social media advertisement,"Visiting the website, Visiting the website, Phone calls to the sales manager, Phone calls to the sales manager, Visiting the website, I do not follow any, Visits to a physical store",Yes,Product Line 1,"Dissatisfaction with products among clients, New product lines lacking a unique sales proposition, Reduced support from sales manager, Reduced support from sales manager, Reduced support from sales manager, New product lines lacking a unique sales proposition, Products becoming widely available in shops",2,5,Yes,382
Cosmetology specialist,Brand A,10,Via a social media advertisement,"Visiting the website, Email, Through colleagues/bosses, Visiting the website, Email, Through colleagues/bosses, Email, Visiting the website, Visits to a physical store",Yes,Product Line 4,"Ethical or financial scandals associated with the brand or personnel, Brand not recognized or preferred by clients, Reduced support from sales manager, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Receiving spoiled or damaged products",4,7,Yes,408
"Other, please specify",Brand E,5,School/college,I do not follow any,Yes,Product Line 5,"Lack of educational seminars supporting new products, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Product-based procedures becoming less profitable, Dissatisfaction with products among clients, New product lines lacking a unique sales proposition, Moving to another country where the brand is unknown, Slow or poor product delivery, Moving to another country where the brand is unknown",1,4,Yes,259
Cosmetics brand owner,Brand A,9,Shelf or poster ad at the shop,"Visiting the website, Phone calls to the sales manager, TikTok, Through colleagues/bosses, TikTok",Yes,Product Line 5,"Dissatisfaction with products among clients, Lack of educational seminars supporting new products, Ethical or financial scandals associated with the brand or personnel, Product-based procedures becoming less profitable, Absence of new product lines, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products",4,9,Yes,261
Cosmetics brand owner,Brand A,0,School/college,"Visiting the website, Visiting the website, Visiting the website, Phone calls to the sales manager, TikTok, Visiting the website, TikTok, I do not follow any",Yes,Product Line 1,"Dissatisfaction with products among clients, Lack of educational seminars supporting new products",2,8,Yes,485
Individual consumer,Brand A,9,Through an email newsletter,"Linkedin, Through colleagues/bosses, Visiting the website, TikTok, TikTok",No,Product Line 5,"Moving to another country where the brand is unknown, Products becoming widely available in shops, Products becoming widely available in shops, Products becoming widely available in shops",3,5,Yes,208
Cosmetology specialist,Brand A,7,From clients,Linkedin,Yes,Product Line 4,"Receiving spoiled or damaged products, Receiving spoiled or damaged products, Product-based procedures becoming less profitable, Brand not recognized or preferred by clients, Ethical or financial scandals associated with the brand or personnel",4,10,Yes,175
Beauty studio manager/administrator,Brand A,5,Friends,"I do not follow any, Visiting the website",Yes,Product Line 5,"New product lines lacking a unique sales proposition, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Dissatisfaction with products among clients, Dissatisfaction with products among clients, Receiving spoiled or damaged products, Reduced support from sales manager, Moving to another country where the brand is unknown, Absence of new product lines",2,2,Yes,142
"Other, please specify",Brand B,0,School/college,"Visiting the website, Visiting the website, TikTok, Visiting the website, Visiting the website, Linkedin, Phone calls to the sales manager, Visiting the website, I do not follow any",Yes,Product Line 5,"Moving to another country where the brand is unknown, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Dissatisfaction with products among clients, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products",3,10,Yes,185
Beauty studio manager/administrator,Brand A,3,Via a social media advertisement,I do not follow any,No,Product Line 5,"Ethical or financial scandals associated with the brand or personnel, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Product-based procedures becoming less profitable, Brand not recognized or preferred by clients",2,8,Yes,166
Individual consumer,Brand D,4,Through an email newsletter,"Linkedin, Visiting the website, Through colleagues/bosses, TikTok, I do not follow any, Visits to a physical store",Yes,Product Line 3,"Ethical or financial scandals associated with the brand or personnel, Moving to another country where the brand is unknown, Moving to another country where the brand is unknown",2,7,Yes,321
"Other, please specify",Brand C,5,Shelf or poster ad at the shop,"Through colleagues/bosses, Visiting the website, Through colleagues/bosses, Email, Phone calls to the sales manager, Visiting the website, Visits to a physical store, Through colleagues/bosses, Email",Yes,Product Line 3,"Absence of new product lines, Products becoming widely available in shops, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, New product lines lacking a unique sales proposition, Slow or poor product delivery, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, New product lines lacking a unique sales proposition, Ethical or financial scandals associated with the brand or personnel",4,6,Yes,250
Individual consumer,Brand E,10,Via a social media advertisement,"I do not follow any, Email, Visiting the website, Visiting the website, I do not follow any",Yes,Product Line 2,New product lines lacking a unique sales proposition,3,6,Yes,344
"Other, please specify",Brand E,15,Via an internet advertisement,"Instagram, Email, Visiting the website, Email, Visiting the website, Through colleagues/bosses, Visits to a physical store, Visits to a physical store, Visiting the website",Yes,Product Line 5,Product-based procedures becoming less profitable,2,6,Yes,479
Cosmetics brand owner,Brand D,3,Word of mouth,"Instagram, Linkedin, Linkedin, Visiting the website",Yes,Product Line 1,"Reduced support from sales manager, New product lines lacking a unique sales proposition, Brand not recognized or preferred by clients, Receiving spoiled or damaged products",4,7,Yes,247
"Other, please specify",Brand B,0,Via a social media advertisement,"Linkedin, Visiting the website, Visiting the website, Visits to a physical store, Phone calls to the sales manager, Email, Visiting the website, Visits to a physical store, Instagram",Yes,Product Line 2,"New product lines lacking a unique sales proposition, Moving to another country where the brand is unknown, Moving to another country where the brand is unknown, Absence of new product lines, Product-based procedures becoming less profitable",3,7,Yes,452
Massage professional,Brand A,1,Through an email newsletter,"Phone calls to the sales manager, Visiting the website, Linkedin",Yes,Product Line 2,"Lack of educational seminars supporting new products, Product-based procedures becoming less profitable, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Dissatisfaction with products among clients, Lack of educational seminars supporting new products, New product lines lacking a unique sales proposition",2,5,Yes,212
Individual consumer,Brand A,7,At educational courses,"I do not follow any, I do not follow any, Visiting the website, Linkedin, Visiting the website, Visiting the website",Yes,Product Line 4,"Lack of educational seminars supporting new products, Dissatisfaction with products among clients",2,7,No,337
Massage professional,Brand A,6,From a family member,"Visiting the website, Visiting the website, Phone calls to the sales manager, Instagram, Linkedin, Email",Yes,Product Line 4,"Absence of new product lines, Slow or poor product delivery, Reduced support from sales manager, Lack of educational seminars supporting new products, Products becoming widely available in shops, Moving to another country where the brand is unknown",3,8,No,337
Massage professional,Brand D,6,From a family member,"Instagram, Visiting the website, Phone calls to the sales manager",Yes,Product Line 2,"Lack of educational seminars supporting new products, New product lines lacking a unique sales proposition, Moving to another country where the brand is unknown, Reduced support from sales manager, Absence of new product lines, Brand not recognized or preferred by clients, Receiving spoiled or damaged products",2,6,Yes,173
"Other, please specify",Brand E,0,School/college,I do not follow any,Yes,Product Line 1,"New product lines lacking a unique sales proposition, Receiving spoiled or damaged products, New product lines lacking a unique sales proposition, Ethical or financial scandals associated with the brand or personnel, Lack of educational seminars supporting new products, Ethical or financial scandals associated with the brand or personnel, Reduced support from sales manager, Dissatisfaction with products among clients, Dissatisfaction with products among clients",5,9,Yes,403
Cosmetology specialist,Brand D,3,School/college,"Visiting the website, Visits to a physical store, Instagram, Visiting the website, Linkedin, I do not follow any",No,Product Line 3,"Reduced support from sales manager, Brand not recognized or preferred by clients, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products",3,7,No,249
Cosmetics brand owner,Brand A,6,School/college,"Visiting the website, Visiting the website, Email, Phone calls to the sales manager",No,Product Line 4,"Lack of educational seminars supporting new products, Products becoming widely available in shops",3,5,Yes,440
Massage professional,Brand D,1,School/college,"Phone calls to the sales manager, Visiting the website, Visiting the website, Phone calls to the sales manager, Through colleagues/bosses, Visiting the website, TikTok, Email, TikTok",Yes,Product Line 3,"New product lines lacking a unique sales proposition, Brand not recognized or preferred by clients, New product lines lacking a unique sales proposition, Reduced support from sales manager, Slow or poor product delivery, Lack of educational seminars supporting new products",3,4,Yes,441
Cosmetology specialist,Brand E,13,Via a social media advertisement,"Email, Through colleagues/bosses, Through colleagues/bosses, I do not follow any, TikTok, TikTok, I do not follow any, Through colleagues/bosses",Yes,Product Line 5,"Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Receiving spoiled or damaged products, Moving to another country where the brand is unknown",1,5,Yes,292
Cosmetics brand owner,Brand C,3,Via a social media advertisement,Visiting the website,Yes,Product Line 2,"Dissatisfaction with products among clients, Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products, Reduced support from sales manager, Ethical or financial scandals associated with the brand or personnel, Absence of new product lines, Ethical or financial scandals associated with the brand or personnel, Ethical or financial scandals associated with the brand or personnel, Receiving spoiled or damaged products, Dissatisfaction with products among clients, Lack of educational seminars supporting new products",1,9,Yes,269
Individual consumer,Brand A,2,School/college,"Email, I do not follow any, Visiting the website, Visiting the website, Visits to a physical store, TikTok, Linkedin, Email, I do not follow any",No,Product Line 1,"Lack of educational seminars supporting new products, Slow or poor product delivery, Absence of new product lines",2,4,Yes,266
Cosmetology specialist,Brand A,5,Via an internet advertisement,"Visiting the website, TikTok, Phone calls to the sales manager, Visiting the website, Visiting the website",Yes,Product Line 4,"Reduced support from sales manager, Ethical or financial scandals associated with the brand or personnel, Moving to another country where the brand is unknown, Reduced support from sales manager, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products",3,8,No,331
"Other, please specify",Brand A,4,Through an email newsletter,"Visits to a physical store, I do not follow any, Through colleagues/bosses, TikTok",Yes,Product Line 4,"Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products",3,10,Yes,327
Individual consumer,Brand A,5,From clients,"Linkedin, Visiting the website, I do not follow any, Visiting the website",Yes,Product Line 2,"New product lines lacking a unique sales proposition, Dissatisfaction with products among clients, Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, New product lines lacking a unique sales proposition, Ethical or financial scandals associated with the brand or personnel, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products",3,7,No,261
Cosmetics brand owner,Brand A,5,Through an email newsletter,"Through colleagues/bosses, Visiting the website, Through colleagues/bosses, Visits to a physical store",No,Product Line 2,"Products becoming widely available in shops, Products becoming widely available in shops, Lack of educational seminars supporting new products",4,8,No,242
"Other, please specify",Brand A,7,Friends,"I do not follow any, Through colleagues/bosses, Visiting the website, Instagram, Visits to a physical store",Yes,Product Line 3,"Product-based procedures becoming less profitable, New product lines lacking a unique sales proposition, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Slow or poor product delivery, Lack of educational seminars supporting new products, Reduced support from sales manager, Absence of new product lines",3,4,Yes,168
Cosmetics brand owner,Brand C,0,From clients,"Visiting the website, Visits to a physical store, Visiting the website, Instagram, Visiting the website, Email",Yes,Product Line 2,"Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Product-based procedures becoming less profitable, Absence of new product lines, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Moving to another country where the brand is unknown",3,5,Yes,385
Cosmetics brand owner,Brand B,7,School/college,Email,No,Product Line 3,"Ethical or financial scandals associated with the brand or personnel, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Products becoming widely available in shops, Dissatisfaction with products among clients, Brand not recognized or preferred by clients, New product lines lacking a unique sales proposition",5,8,Yes,224
"Other, please specify",Brand E,15,School/college,"Linkedin, I do not follow any",Yes,Product Line 5,"Slow or poor product delivery, Ethical or financial scandals associated with the brand or personnel, Absence of new product lines, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Lack of educational seminars supporting new products",4,7,Yes,299
Individual consumer,Brand A,0,From a family member,"Visiting the website, I do not follow any, Visiting the website, Linkedin, Linkedin, I do not follow any, Visiting the website, Visiting the website, Phone calls to the sales manager",Yes,Product Line 1,"Absence of new product lines, Lack of educational seminars supporting new products, Slow or poor product delivery, Lack of educational seminars supporting new products",2,9,No,266
